template_id,file_name,invoice_number,invoice_date,due_date,issuer_name,recipient_name,total_amount
1,Template1_Instance0.jpg,12345670,2008-03-20,2016-10-16,Address:16424 Timothy Mission,16424 Timothy Mission,734.33
1,Template1_Instance1.jpg,v-1999,1994-04-01,1999-11-25,Address:16424 Timothy Mission,"Markville, AK 58294 US.",92.46
2,Template2_Instance0.jpg,INV17967327,2014-02-23,,"Barnes, Garcia and Martin","North Cindytown, CT 45483 US",653.95
2,Template2_Instance1.jpg,2YM4d-800,2008-03-27,,"Barnes, Garcia and Martin",Address:13868 Michael Wall,739.31
3,Template3_Instance0.jpg,INV16291505,2002-03-03,2007-08-20,"Kirk, Murphy and Daniels",All payments to be made in cash. TAXVAT (6.46%): 06.23 $,457.14
3,Template3_Instance1.jpg,1Y7M40-846,2017-08-06,2024-09-17,"Kirk, Murphy and Daniels",938 Gonzalez Courts Apt. 670,360.43
4,Template4_Instance0.jpg,31-May-2022,2022-05-31,2022-05-31,‘Address:2180 Michael Ridges Apt. 385,"Port Lindsey, MP 98258 US.",995.15
4,Template4_Instance1.jpg,26-Apr-2016,2004-01-20,2016-04-26,‘Address:2180 Michael Ridges Apt. 385,"Port Lindsey, MP 98258 US.",806.53
5,Template5_Instance0.jpg,5Y3M7d-590,1999-01-18,,Bill to:Robyn Johnson,233 Foster Gardens,677.33
5,Template5_Instance1.jpg,6553-163,2008-04-13,,17969 Pratt Bypass Apt. 628,All payments to be made in cash.,630.17
6,Template6_Instance0.jpg,INV36598508,2002-02-16,,"Phillips, Thomas and Malone |",187 Laurie Throughway Suite 418,4309.70
6,Template6_Instance1.jpg,9Y7M2d-047,2016-08-17,,"Phillips, Thomas and Malone |",82097 Moore Branch Suite 397,908.29
7,Template7_Instance0.jpg,3Y5M9d-848,2020-09-19,2012-03-26,Email:cpetersen@example.com,‘9509 Johnson Causeway,96.93
7,Template7_Instance1.jpg,SY2M8d-217,2022-04-20,,Email:cpetersen@example.com,Tel:+(414)020-3929 Dis Dae DEIN,74.02
8,Template8_Instance0.jpg,INV/83-35/489,2010-09-22,2020-07-21,"Graham, Carrillo and Stark",Email:ghodges@example.org,208.39
8,Template8_Instance1.jpg,INV9S514156,2002-09-01,2004-07-30,"Graham, Carrillo and Stark","Lake Shawnbury, CO 05460 US",76.19
9,Template9_Instance0.jpg,INV45196529,,,"Navarro, Ford and Bryan","East Melissa, GU 66650 US",778.46
9,Template9_Instance1.jpg,7637-774,2004-06-21,,GSTINIUIN: 09AABCS142961ZS.,84769 Ashley Turnpike,654.13
10,Template10_Instance0.jpg,INV/30-14/832,1994-01-03,2007-02-06,Address:4894 Melanie Pass Apt. 742,4894 Melanie Pass Apt. 742,441.14
10,Template10_Instance1.jpg,9Y2M74-647,2014-01-16,2021-08-16,Address:4894 Melanie Pass Apt. 742,4586 Yolanda Pass Suite 397,796.34
11,Template11_Instance0.jpg,INV/72-06/714,2010-04-20,2015-07-25,Property range. $17.53,Guess westem scientist $31.55,264.25
11,Template11_Instance1.jpg,0875-302,2021-11-30,2008-02-17,Protect month media. $74.49,Staff happen open. $20.86,505.92
12,Template12_Instance0.jpg,2970-559,2002-01-23,2018-12-06,Buyer :Alexander Williams,Richardson-Davis 6479 Smith Causeway,828.69
12,Template12_Instance1.jpg,6Y1M8d-204,2008-10-24,2006-04-07,Terms & Conditions,All payments to be made in cash.,78.82
13,Template13_Instance0.jpg,v-1993,1993-11-17,1993-11-17,Fernandez PLC Address:2942 Gary Village Suite 237,All payments to be made,512.52
13,Template13_Instance1.jpg,v-2004,1997-07-17,2004-11-27,"New Yolandaland, IL 18166 US",Bank Name Central Bank of USA,340.80
14,Template14_Instance0.jpg,INV/57-22/068,2010-01-17,2011-06-19,Faulkner LLC,841 Marshall Knolls,998.28
14,Template14_Instance1.jpg,INV/91-15/248,2010-07-16,2013-10-10,Faulkner LLC,52110 Gibson Forks Apt. 087,28.39
15,Template15_Instance0.jpg,INV38499489,1993-08-27,2006-11-16,Address:744 Hernandez Hollow Apt. 459,"Rossville, UT 53295 US",917.32
