template_id,file_name,invoice_number,invoice_date,due_date,issuer_name,recipient_name,total_amount
7,Template7_Instance0.jpg,3Y5M9d-848,2020-09-19,2012-03-26,White and Sons,Kimberly Kent,1115.31
7,Template7_Instance1.jpg,5Y2M8d-217,2022-04-20,1996-07-08,White and Sons,Mark English,574.02
7,Template7_Instance10.jpg,INV65283702,2003-12-12,2018-05-27,White and Sons,Heather Johnson,478.75
7,Template7_Instance100.jpg,INVO7502768,1998-10-26,2015-10-04,White and Sons,Dr. Sarah Waters,382.78
7,Template7_Instance101.jpg,5075-677,2011-09-11,2019-05-13,White and Sons,Darlene Warren,435.89
7,Template7_Instance102.jpg,INV28694433,2013-03-18,2008-02-22,White and Sons,Cynthia Rosario,540.33
7,Template7_Instance103.jpg,1Y5M2d-007,2004-09-10,2013-02-28,White and Sons y g,Jerome Marshall,320.97
7,Template7_Instance104.jpg,INV00481109,2018-09-13,2018-11-08,White and Sons,Christina Stewart,703.24
7,Template7_Instance105.jpg,INV/04-89/048,1997-01-07,2001-07-30,White and Sons,Tanya Hernandez,757.13
7,Template7_Instance106.jpg,5Y3M84-727,2013-05-21,2009-07-24,mpanyra | 60+ saan id,Alexa Mercer,463.29
7,Template7_Instance107.jpg,INV52372833,2008-01-18,2004-11-06,White and Sons,Tyler Chavez,562.00
7,Template7_Instance108.jpg,1Y1M3d-265,2010-02-04,2007-09-08,White and Sons,Maria King,200.16
7,Template7_Instance109.jpg,7Y7M34-614,2005-11-13,2022-02-13,White and Sons,Brenda Smith,970.95
7,Template7_Instance11.jpg,7082-336,2011-05-12,2002-12-21,White and Sons,Jonathan Richardson,630.66
7,Template7_Instance110.jpg,INV42240574,2013-12-02,2011-07-31,White and Sons,Stacey Johnson,463.20
7,Template7_Instance111.jpg,INVI75-33/619,1995-05-10,2015-12-18,White and Sons,Amanda Reyes,700.15
7,Template7_Instance112.jpg,INV03619288,1997-12-02,2012-07-26,White and Sons,Christopher Goodwin,915.04
7,Template7_Instance113.jpg,0243-249,1994-08-27,1993-11-20,White and Sons y g,Bryan Doyle,292.95
7,Template7_Instance114.jpg,6Y4N1d-143,2014-09-16,2002-07-07,[Series torincuse dt CdS‘ Cd,Denise Cunningham,444.11
7,Template7_Instance115.jpg,INV22648071,2014-08-29,2009-04-14,White and Sons,Linda Lindsey,1075.55
7,Template7_Instance116.jpg,9Y4M9d-382,1995-11-06,2011-11-25,White and Sons y g,Mark Simon,753.12
7,Template7_Instance117.jpg,INV38268425,2000-04-03,2009-06-15,White and Sons,Denise Velazquez,813.35
7,Template7_Instance118.jpg,INV/84-87/073,2009-09-02,2007-02-24,White and Sons,Catherine Beck,826.18
7,Template7_Instance119.jpg,5Y2M6d-823,2018-02-14,2010-08-05,White and Sons,Mare Carroll,468.51
7,Template7_Instance12.jpg,INV/92-22/701,1997-11-17,2010-08-30,White and Sons,Cassandra Ruiz,381.87
7,Template7_Instance120.jpg,3448-655,2020-08-26,2016-06-19,White and Sons,Adam Cannon,444.21
7,Template7_Instance121.jpg,INV31516139,2008-07-01,2008-04-28,White and Sons,David Hernandez,627.90
7,Template7_Instance122.jpg,6Y2M4d-148,2008-11-09,2011-11-21,White and Sons y g,Lisa Taylor,626.41
7,Template7_Instance123.jpg,INV88162585,2012-01-05,2019-07-04,White and Sons,Lauren James,796.29
7,Template7_Instance124.jpg,INV35108083,2005-03-13,2015-12-14,White and Sons,Alexander Preston,621.58
7,Template7_Instance125.jpg,8333-924,2021-05-28,2016-02-19,White and Sons,Luis Riley,1238.12
7,Template7_Instance126.jpg,INV75787999,2002-04-24,2001-02-05,White and Sons,Jenna Thomas,1280.78
7,Template7_Instance127.jpg,INV63054288,2020-09-18,2018-08-13,White and Sons,Claudia Smith,353.11
7,Template7_Instance128.jpg,3430-219,2002-04-21,2021-05-23,White and Sons,Ronald Bautista,819.88
7,Template7_Instance129.jpg,8Y2M5d-379,2007-06-22,2002-10-23,White and Sons,Christopher Hughes,743.67
7,Template7_Instance13.jpg,1M6d-241,2018-07-05,2006-03-04,White and Sons,Jeffery Hicks,666.55
7,Template7_Instance130.jpg,INV19819578,2014-05-22,2010-07-19,White and Sons,Angela Barnes,740.55
7,Template7_Instance131.jpg,INV/02-85/506,2018-11-24,1998-04-22,White and Sons,Sydney Hall,1075.00
7,Template7_Instance132.jpg,2Y7M1d-046,2018-03-03,2015-11-14,White and Sons,Scott Hicks,682.98
7,Template7_Instance133.jpg,3Y2M5d-151,1996-12-10,2015-05-15,White and Sons,Michael Roberson,1187.00
7,Template7_Instance134.jpg,6Y5M2d-975,2018-10-23,2014-06-23,White and Sons,Tonya Banks,797.13
7,Template7_Instance135.jpg,INV16368854,1998-02-06,2009-01-07,White and Sons y g,Michael Nelson,330.58
7,Template7_Instance136.jpg,SY2M2a-832,2014-03-31,2014-01-03,White and Sons,Michael Sutton,521.53
7,Template7_Instance137.jpg,2290-605,2005-03-08,2021-12-10,White and Sons,Philip Hahn.,1030.56
7,Template7_Instance138.jpg,6Y2M4d-987,2021-10-15,2001-04-14,White and Sons,Jordan Baker,991.17
7,Template7_Instance139.jpg,7008-166,1999-03-04,2013-06-27,White and Sons,Dominique Taylor,234.36
7,Template7_Instance14.jpg,8225-873,2004-06-16,1999-05-21,White and Sons,Carla Richardson,279.05
7,Template7_Instance140.jpg,INVI68-55/589,2020-01-04,2004-11-16,White and Sons,Marisa Holt,596.32
7,Template7_Instance141.jpg,4Y5M9d-452,2021-10-30,2017-10-10,White and Sons,Jennifer Martinez,621.89
7,Template7_Instance142.jpg,INV/69-29/355,2005-05-13,2014-12-18,White and Sons,Katherine Jenkins,889.37
7,Template7_Instance143.jpg,INV62819862,1998-11-28,1997-09-25,White and Sons Ze a,Regina Davis,4.76
